area,price
25.7,2.53
28.2,2.5
29.3,1.23
30.7,2.27
30.8,2.61
32.9,2.04
33.1,1.87
34.3,2.03
34.3,2.88
37.2,1.98
38.5,2.6
39.5,2.35
39.9,2.88
42.4,2.14
42.6,2.1
44.5,1.52
46.3,2.64
47.7,2.57
47.9,2.44
48.1,1.74
49.8,2.51
50.0,2.25
51.5,2.77
58.9,4.86
60.1,3.99
61.5,4.04
63.0,3.14
63.1,4.29
63.9,4.46
65.6,4.54
65.7,4.85
66.4,4.74
69.8,5.89
70.8,5.77
71.8,5.91
73.6,5.07
79.0,5.2
80.0,6.44
84.0,5.63
86.7,5.91
89.3,5.94
90.0,5.3
90.3,6.27
90.6,5.58
92.8,6.47
99.7,5.87
99.8,6.55
100.1,5.33
101.5,6.84
102.9,5.1
104.7,6.2
110.5,6.8
113.4,5.81
113.5,5.77
114.2,6.94
116.1,6.99
116.2,6.97
116.5,7.06
120.1,6.88
121.4,7.59
121.5,7.04
121.9,8.64
123.1,7.97
126.0,8.48
126.9,7.63
128.6,8.92
129.1,9.21
133.3,9.63
135.9,9.58
136.9,9.93
140.2,9.56
142.4,9.39
143.6,9.36
143.8,9.42
146.2,10.19
146.2,10.15
148.4,10.51
